Task_id,Worker,Scheduled_time
0_M0,7000,5.007136106491089
1_M0,7001,7.009673118591309
1_R0,7002,9.011788129806519
1_R1,7000,9.012686014175415
0_R0,7001,9.014341831207275
2_M0,7002,10.016334533691406
2_M1,7000,10.016793251037598
3_M0,7001,10.017111539840698
3_M1,7002,10.017516136169434
3_M2,7000,10.017958402633667
3_M3,7001,10.018420219421387
2_R0,7002,11.020263433456421
4_M0,7000,11.021135807037354
5_M0,7001,12.023223400115967
5_M1,7000,12.024176359176636
5_M2,7001,12.024909973144531
4_R0,7002,13.026695489883423
4_R1,7000,13.027140140533447
5_R0,7001,13.027556896209717
5_R1,7000,13.027817964553833
3_R0,7001,14.028542041778564
3_R1,7002,14.028903722763062
6_M0,7000,14.029168128967285
6_M1,7001,14.029389142990112
6_M2,7002,14.029775619506836
6_M3,7000,14.030063152313232
7_M0,7001,15.031663656234741
7_M1,7000,15.03208613395691
7_M2,7001,15.032372951507568
8_M0,7000,15.03273868560791
9_M0,7001,15.033061981201172
9_M1,7001,15.03338074684143
9_M2,7001,15.033655881881714
9_M3,7001,15.033873558044434
10_M0,7002,16.03866219520569
10_M1,7000,16.039318323135376
11_M0,7001,16.039661645889282
11_M1,7000,16.03981924057007
11_M2,7001,17.042555809020996
12_M0,7002,17.04293656349182
13_M0,7000,17.058706998825073
13_M1,7001,17.059356927871704
13_M2,7000,17.05980396270752
13_M3,7000,17.059971809387207
14_M0,7000,17.06011986732483
8_R0,7002,18.04352641105652
6_R0,7000,18.049058198928833
6_R1,7001,18.049551963806152
15_M0,7001,18.04985475540161
12_R0,7002,18.05012798309326
7_R0,7001,19.05167841911316
9_R0,7002,19.05254077911377
10_R0,7001,19.053284883499146
16_M0,7002,19.05421257019043
16_M1,7001,19.05589509010315
17_M0,7002,20.058098793029785
17_M1,7000,20.058778524398804
17_M2,7002,20.059492826461792
17_M3,7000,20.060248851776123
18_M0,7002,20.061009168624878
18_M1,7001,20.062278509140015
18_M2,7000,20.064403772354126
13_R0,7000,20.066081762313843
13_R1,7001,21.049795866012573
11_R0,7001,21.062861919403076
15_R0,7001,21.06836247444153
15_R1,7001,21.08426523208618
19_M0,7001,21.09992814064026
19_M1,7002,21.1002094745636
16_R0,7000,21.10050129890442
16_R1,7000,21.116194248199463
14_R0,7001,22.06173300743103
17_R0,7002,25.065744400024414
18_R0,7000,25.066659212112427
19_R0,7001,26.068567037582397
19_R1,7002,26.069302797317505
